Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,PR Sup,DOB,DOA,End Date,Status,Video Start Time (HH:MM:SS),Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Familiarisation-Comments,Call Back-Start Time (MM:SS) ,Call Back-Response,Call Back-Comments,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Walking-Comments,Standing-Start Time (MM:SS) ,Standing-Response,Standing-Comments,Sitting-Start Time (MM:SS) ,Sitting-Response,Sitting-Comments,Lying-Start Time (MM:SS) ,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Lying-Comments,Body check-Start Time (MM:SS),Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Body Check-Comments,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Tea Towel-Comments,Distractions-Start Time (MM:SS),Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Distractions-Finish Time (MM:SS) ,Distractions-Comments,Kong-Presentation-Start Time (MM:SS) ,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Start Time (MM:SS),Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Interaction-Finish Time (MM:SS),Kong-Return-Handler,Kong-Comments,Dog-Start Time (MM:SS),Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Dog-Comments,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Crate-Finish Time (MM:SS),Crate-Comments,Petting-Start Time (MM:SS),Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Finish Time (MM:SS),Petting-Responsiveness-After,Petting-Comments,Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Isolation-Comments,Reunion-Response,Reunion-Comments,Noise-Start Time (MM:SS),Noise-Time (MM:SS),Noise-Confidence,Noise-Walk Finish Time (MM:SS),Noise-Comments,Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Lip Smacking
Jane,10-04-LJ,1,2019-10-24,A,LR,F,J,IGDB,Graham,03/07/2018,02/10/2019,14/02/2020,AD,,,2.0,5.0,1.0,Body shakes (body sensitivity?) ,,1.0,,,2,1,1,3,,,1,Constantly moving and changing position and breaking stand (sitting).,,3.0,Jumps at handler when assessor and handler begin laughing. Handler remarks on dog passing gas (stress?).,,3,4.0,,Handler remains in crouched position next to the dog. Lay down on second attempt but there might have been some confusion. ,,4.0,4,No,No,,,,Yes,No,No,No,No,No,Yes,No,No,No,No,No,,,,3,2,3,5,2,2.0,2.0,3.0,2,2.0,4,,,,2,Dog on lead. Anxious behaviour - lip smacking and moving head closer>> maintains sit nicely though,,Left,3.0,1,1.0,,3.0,Dog on lead so cannot take the kong anywhere but seemed to be very content with staying close and probably wouldnt have moved away anyway. A very short-lived favour of the left paw in the very beginning and then no use of any paws. ,,3,0.0,,Doesnt leave handlers side - definite mild interest though,,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,No,,,,1.0,1.0,2.0,,3.0,,,4.0,3.0,2.0,1.0,1.0,No,,,1.0,,,,4.0,,Very minor change in body language - extremely quick recovery,,,,,,,,,,,
Hayley,08-12-LH,1,2019-09-23,B,LRxGR,F,H,IGDB,Frances,11/05/2018,28/08/2019,04/12/2019,W,,,2.0,4.0,1.0,dog out of view of camera at times due to the angle of the camera,,1.0,,,3,4,4,1,,,1,,,2.0,,,3,2.0,,,,,3,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,,,4,3,3,4,3,3.0,3.0,4.0,3,3.0,4,,,,5,jumps at handler twice,,Left,3.0,1,1.0,,2.0,,,6,3.0,,"dog ran around, gave a few excitable bark. dog distraction took a while to get into crate",,4.0,,,,,,,,,,,,,,,1.0,1.0,3.0,,3.0,,,4.0,1.0,3.0,1.0,4.0,No,,,3.0,,,,4.0,,,,,,,,,,,,,
Idris,10-14-LI,1,2019-11-06,B,LRxGR,M,I,IGDB,Mags,28/06/2018,17/10/2019,12/02/2020,W,,,2.0,3.0,2.0,,,1.0,,,1,1,1,2,,,2,,,2.0,,,4,3.0,,,,4.0,3,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,,,,3,4,4,4,3,3.0,3.0,4.0,3,3.0,5,,,,4,sits and then goes down ,,Left,3.0,3,1.0,,2.0,"I couldn't see the paw lateralisation, but could hear assessor and handler day Left",,4,,,handler walked over to crate and dog came over to there,,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,5.0,1.0,4.0,1.0,1.0,No,,,4.0,dog had jumped out,,,4.0,,,,,,,,,,,,,
Mac,11-01-LM,1,2019-12-18,B,LR,M,M,IGDB,DSM,25/08/2018,04/11/2019,03/01/2020,W,,,1.0,5.0,1.0,,,2.0,handler didn't use dogs name,,3,1,1,3,dog sniffed most of the way around,,2,,,2.0,handler stayed crouched beside the dog constantly petting the dog,,4,3.0,,handler stayed crouched beside the dog  consistently petting the dog,,1.0,3,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,,,,5,5,5,6,3,4.0,5.0,5.0,4,5.0,6,,,,4,sat,,Left,3.0,1,2.0,,2.0,,,5,0.0,,,,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,3.0,3.0,3.0,1.0,1.0,No,,,3.0,,,,5.0,,,,,,,,,,,,,
July,10-03-LJ,1,2019-10-30,B,LR,F,J,IGDB,Graham,03/07/2018,17/10/2019,08/06/2020,AD,,,1.0,5.0,1.0,,,2.0,,,3,1,1,3,,,1,,,4.0,,,2,3.0,,,,4.0,3,No,No,,,,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,dog distracted by sniffing the ground,,4,4,1,5,2,3.0,2.0,3.0,3,5.0,5,,,,5,"sat, jumped up a few times",,Left,3.0,3,1.0,,2.0,,,4,2.0,,,,1.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,4.0,2.0,2.0,3.0,1.0,No,,,3.0,,,,4.0,,,,,,,,,,,,,
Kirby,10-15-LK,1,2019-11-01,A,LRxGR,M,K,IGDB,Mags,02/08/2018,09/10/2019,20/07/2020,AD,,,2.0,5.0,2.0,scratching - body sensitivity? ,,1.0,,,1,1,1,2,Body shakes - body sensitivity?,,3,Handler body position a bit hunched in support. Quite scent distracted.,,2.0,Wanted to lay down and handler supported and maintained for a few seconds but he went on to lie down anyways Handler moved on. ,,4,4.0,,Not asked to lie down - but down maintained well after breaking sit - even resting head.,,4.0,4,No,No,,Needed help (hoisting) onto the table -- put fore-paws up and needing hindquarters hoisted. Bit I dont think this was any degree of a lack of willingness rather just wasnt expecting it and didnt run up sufficiently . Happy with the examination,,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,,Attempt 1 - did very quickly turn head to look at the towel but it was more an inquisitive look as he was not worried about it - didnt show any signs of concern. More interested in the handlers food reward. I wouldnt call this a lack of change in neutrality> more or less the same in the second attempt although he did seem a little more concerned and did try to move a bit more and looked a bit more too but it didnt phase him too much. Video was cut short so didnt the entirety of the second attempt,,3,3,3,5,2,2.0,2.0,5.0,2,3.0,5,,,,2,Sat and then lay down - no inappropriate behaviour at all. Stared very intently at the kong and showed a definite interest.,,None,3.0,3,1.0,,2.0,,,3,0.0,,Dog sits and lies down after a while - a definite look of interest but not enough to cause him to run after him or leave the handler,,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,,Sniffed for a few seconds but very calmly and then lay down. ,,1.0,1.0,3.0,,3.0,At first quite indifferent but comes when handler calls and wags tail a little,,5.0,1.0,2.0,2.0,3.0,No,,Lies down at gate after a bit of barking. Definite separation anxiety as opposed to any attention seeking. ,4.0,Though not what activated might look like in another dog - definite activation for this dog who is generally quite calm and indifferent ,,,4.0,,A very slight startle - looks at the assessor who dropped the can and suspicious of her afterward. But quick enough recovery.,,,,,,,,,,,
Kacie,10-31-LK,1,2019-11-14,A,LRxGR,F,K,IGDB,Graham,02/08/2018,24/10/2019,08/06/2020,AD,,,1.0,5.0,1.0,,,1.0,,,3,1,1,2,Very activated/excited and very distracted by her environment,,1,Very scent distracted,,1.0,Very distracted by something in the background. Very restless,,4,2.0,,Lying posture - completely sprawled out with back legs straight behind. Still quite distracted but maintained well,,4.0,3,No,No,,"Ears pinned back, low tail carriage with frantic wagging, and couldnt wait to get off but didnt try to escape",,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,,Shakes body to get towel off on second attempt ,,3,4,1,3,4,5.0,3.0,2.0,4,4.0,6,,Very distracted by everything ,,5,"Very restless - jumps up, backs up, whines and when she thinks shes not getting her way she explores",,None,4.0,3,3.0,,2.0,,,3,0.0,,Definite interest and does break sit but doesnt move away from handler,,1.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,No,,,,1.0,1.0,4.0,,3.0,,,5.0,1.0,2.0,2.0,4.0,No,,,4.0,,,,3.0,,Quite obsessed with assessor holding the can - so her response was all related to that - no response to the noise of the can,,,,,,,,,,,
Meeko,11-02-IM,1,2019-12-18,A,LR,M,M,IGDB,DSM,25/08/2018,04/11/2019,29/05/2020,W,,,3.0,5.0,2.0,,,2.0,,,3,1,1,3,High scent distraction,,2,Very distracted and restless,,2.0,handler crouches by dog and gives loads of support  - dog still quite distracted and breaks sit to scent,,3,2.0,,Handler crouched by dog still and gives alot of support. Breaks stand without being asked at the end,,2.0,4,No,No,,,,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,,,,4,3,2,4,4,4.0,2.0,3.0,2,2.0,6,,,,2,Moves position and stares intensely,,,,1,,,,Video in three parts and the interaction phase is not included. Final video skew and lots of motion,,2,2.0,,Video was very unstable so I couldnt watch his entire reaction and have based scoring on what I could see,,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,Stayed standing the whole time so wouldnt say he is settled,,1.0,1.0,4.0,,3.0,,,5.0,1.0,2.0,1.0,1.0,No,,Dont know that dog was completely isoolated as the assessor holding the camera I dont think would have been completely out of sight. ,4.0,,,,3.0,,Hard to be sure from the angle of the camera,,,,,,,,,,,
Joy,10-12-LJ,1,2019-11-01,B,LR,F,J,IGDB,Rose,03/07/2018,07/10/2019,08/06/2020,GD,,,2.0,4.0,1.0,,,1.0,,,2,2,2,3,,,2,,,2.0,,,3,3.0,,,,3.0,3,No,Yes,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,3,3,3,5,1,1.0,1.0,4.0,3,3.0,5,,,,5,"barks at handler, unsettled sit",,,4.0,1,2.0,,2.0,,,4,1.0,,,,2.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,5.0,3.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,5.0,1.0,3.0,3.0,2.0,No,,,4.0,,,,4.0,,,,,,,,,,,,,
Junior,10-11-LJ,1,2019-11-06,B,LR,M,J,IGDB,Rose,03/07/2018,07/10/2019,27/07/2020,GD,,,3.0,4.0,2.0,,,1.0,dog was near handler,,1,1,1,3,,,4,,,2.0,,,2,2.0,,,,4.0,3,No,No,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,,,,4,3,3,5,3,3.0,3.0,4.0,2,3.0,5,,,,4,broke sit and resat closer to handler ,,None,2.0,1,1.0,,2.0,,,4,0.0,,,,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,,,,1.0,1.0,4.0,,4.0,,,4.0,2.0,1.0,1.0,1.0,No,,,3.0,,,,4.0,,,,,,,,,,,,,
Kelvin,10-13-LK,1,2019-11-01,B,LRxGR,M,K,IGDB,Rose,02/08/2018,07/10/2019,22/06/2020,GD,,,2.0,4.0,1.0,,,,dog came back to handler before call back,,1,2,2,2,,,4,,,2.0,,,2,2.0,,handler used food and stayed down beside the dog,,4.0,3,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,,,6,5,4,3,6,4.0,4.0,,4,5.0,6,,didn't pass the dog food bowl the 2nd time,,4,"sits and breaks it to move nearer to handler, nudges handler ",,Both,3.0,1,1.0,,3.0,handler placed the kong away from them and the dog stayed in the same spot ,,5,1.0,,,,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,No,,,,1.0,1.0,3.0,,4.0,,,3.0,3.0,3.0,2.0,4.0,No,,,4.0,,,,4.0,,,,,,,,,,,,,
Kain,11-11-IK,1,2019-12-18,A,LRxGR,M,K,IGDB,Mags,02/08/2018,12/11/2019,15/07/2020,AD,,,2.0,4.0,1.0,Scratching - body sensitive?,,2.0,,,3,1,1,2,,,3,Whines and scratches and barks. Not the most stationary of stands and not quite happy to be doing it but not bad.,,3.0,A bit distracted by the background and air scenting. Handler remains crouched at his side,,3,1.0,,Handler remains crouched beside him. constant sniffing and very distracted by environment,,4.0,3,No,No,,Low tail carriage,,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,,have said yes to playing as handler took the towel from his mouth and he was slight activated when it was taken away,,6,5,5,6,6,4.0,4.0,6.0,4,5.0,6,,Quite obsessed with the teddy and food - especially teddy. Handler almost incapable of controlling him and nearly pulled off her feet. ,,5,Jumps up at handler in the beginner - does modulate but I dont think he would have maintained much longer than he did. ,,Left,4.0,1,2.0,,2.0,Video change over - new video not good quality - tilted 90 degrees and missed part of the session with the kong also not stable  ,,3,3.0,,Does look at dog but doesnt move toward the dog - only moves off to explore environment when dog is being put away. Cant see the entirety of this reaction due to the quality of the reaction so scored on what I could see,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,While he modulates well enough he def isnt settled ,,1.0,1.0,3.0,,3.0,Camera with handler/assessor so dog isnt completely isolated ,,5.0,1.0,2.0,1.0,1.0,No,,,4.0,,,,3.0,,,,,,,,,,,,,
Katie,11-21-IK,1,2019-12-12,B,LRxGR,F,K,IGDB,Mags,02/08/2018,19/11/2019,08/06/2020,AD,,,1.0,5.0,1.0,,,1.0,,,2,2,2,1,,,2,,,2.0,,,2,2.0,,,,2.0,3,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,,,,4,4,4,4,3,3.0,3.0,3.0,3,4.0,5,,,,5,"sits, jumps at handler, down, sits, down, sits",,None,3.0,3,2.0,,2.0,,,4,1.0,,,,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,No,,,,1.0,1.0,2.0,,2.0,,,2.0,4.0,3.0,2.0,1.0,No,,problem with equipment,3.0,,,,4.0,,,,,,,,,,,,,
Mara,11-12-IM,1,2019-12-18,A,LR,F,M,IGDB,Mags,25/08/2018,12/11/2019,03/01/2020,W,,,3.0,5.0,1.0,,,1.0,,,3,1,1,3,Scent distraction,,2,Not good positioning for a stand and hence dog is quite restless and probably not really knowing what is required from her.,,2.0,Handler crouches for the entirety High Scent distraction. Does maintain at the end,,3,3.0,,Handler remains crouched and gives alot of support.n Does maintain,,1.0,3,No,No,,,,Yes,No,No,No,No,No,Yes,No,No,No,No,No,,,,4,3,2,5,2,2.0,3.0,4.0,3,3.0,5,,,,4,Edges closer to the handler and sniffs the kong. ,,Left,3.0,1,1.0,,2.0,,,5,1.0,,As soon as she notices the dog she does go toward it but loses interest and begins to explore ,,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,,,,1.0,1.0,3.0,,2.0,,,3.0,4.0,2.0,2.0,1.0,No,,,3.0,,,,3.0,,,,,,,,,,,,,
Kaiser,11-24-IK,1,2019-12-13,A,LRxGR,M,K,IGDB,Graham,02/08/2018,20/11/2019,20/07/2020,GD,,,2.0,5.0,2.0,Bit of whining . ,,1.0,,,3,2,2,1,Sometimes falls to heel but walks mostly ahead,,3,Quite distracted and activated. Licking handlers hand. ,,1.0,Whining barking and breaking - quite distracted and activated. Needed lots of handler support. ,,1,1.0,,"Whining, barking and breaking ",,4.0,4,No,No,,,,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,,,,6,4,4,4,1,2.0,3.0,4.0,4,5.0,6,,,,5,"Activated, lip smacking, whining, barking, attention seeking, jumping up at handler",,None,4.0,3,3.0,,3.0,,,6,1.0,,,,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,No,,,,1.0,1.0,3.0,,2.0,,,4.0,3.0,2.0,2.0,1.0,No,,,1.0,,,,4.0,,Quick recovery,,,,,,,,,,,
Meg,11-22-IM,1,2019-12-12,B,LR,F,M,IGDB,Mags,25/08/2018,19/11/2019,31/01/2020,W,,,2.0,4.0,2.0,problem with equipment,,1.0,,,1,1,1,4,,,4,,,3.0,,,1,,,dog did not go into a down after being asked by handler numerous times,,4.0,3,No,No,,,,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,,,,4,4,3,4,3,4.0,3.0,3.0,2,2.0,5,,,,2,sits,,None,3.0,3,2.0,,2.0,,,3,0.0,,,,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,5.0,1.0,1.0,1.0,1.0,No,,,3.0,,,,4.0,,,,,,,,,,,,,
Tosh,11-23-IT,1,2019-12-12,B,GR,M,T,GDBUK,Mags,25/09/2018,19/11/2019,20/01/2020,W,,,2.0,5.0,1.0,,,1.0,dog was near handler,,2,1,1,4,,,2,,,2.0,,,3,3.0,,,,3.0,3,No,No,,,,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,,,,3,3,3,3,3,3.0,3.0,3.0,1,1.0,4,,,,2,sits,,Left,3.0,1,2.0,,2.0,,,3,0.0,,,,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,2.0,4.0,1.0,1.0,1.0,No,,,3.0,,,,3.0,,,,,,,,,,,,,
Jessie,11-25-IJ,1,2019-12-13,A,LR,F,J,IGDB,Graham,03/07/2018,20/11/2019,31/07/2020,GD,,,3.0,5.0,2.0,,,1.0,,,1,1,1,2,,,1,,,1.0,Sat without being asked (break from stand) handler moves on. ,,2,1.0,,,,4.0,3,No,No,,,,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,1,3,2,4,1,2.0,2.0,2.0,2,3.0,3,,,,2,Lay down after sitting staring for a while,,None,3.0,3,1.0,,2.0,"Is left on lead - but still manages to take the kong across the room albeit that the handler follows - however, had there been no lead he definitely would have taken the kong away, also he had to follow back being on lead",,5,0.0,,,,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,No,,,,1.0,1.0,2.0,,3.0,,,4.0,2.0,3.0,3.0,1.0,No,,,4.0,,,,3.0,,,,,,,,,,,,,
Kali,12-01-LK,1,2020-01-09,A,LRxGR,F,K,IGDB,Graham,02/08/2018,11/12/2019,29/06/2020,GD,,,,5.0,,Handler didnt stay with dog during the familiarisation process,,1.0,,,3,2,2,2,Sometimes walks ahead of handler,,4,No platform used.,,1.0,,,4,2.0,,Whining,,4.0,2,No,No,,Happy to be checked and not necessarily over-aware of the body handling but she is very activated and excited and wants to jump off (tail wagging),,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,,Does jump up and hence towel falls off in the second attempt but I dont think this was an attempt to remove the towel but rather a co-incidence,,4,4,4,1,1,5.0,2.0,1.0,3,4.0,6,,,,4,"Would select n/a if it was here as the kong wasnt really introduced in the normal way, however, the initial reaction was high interest. ",,Left,3.0,3,1.0,,2.0,drops kong for handler at her feet when called back,,4,1.0,,,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,No,,,,1.0,1.0,3.0,,2.0,,,4.0,2.0,3.0,3.0,2.0,No,,,5.0,Jumps up at handler,,,3.0,,,,,,,,,,,,,
Minnie,12-02-LM,1,2020-01-09,A,LR,F,M,IGDB,Rose,25/08/2018,09/12/2019,21/07/2020,GD,,,,5.0,,Handler didnt enter the area during the familiarisation process.,,1.0,waiting by the gate when handler came closer,,2,1,1,2,,,3,A little restless but maintained well with one slight movement,,3.0,,,3,1.0,,Handler used lure and crouched down. Dog very activated and good obsessed - licking handlers hands after having received the treat. Needed loads of handler support,,4.0,2,No,Yes,,Very activated - frantic tail wagging not wanting to properly be checked due to this excitement. Slight bit stressed Id say,,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,,,,6,3,4,5,1,2.0,2.0,2.0,2,4.0,6,,,,2,Sat well intently watching the kong and not moving attention away. No inappropriate behaviour shown,,Both,3.0,1,4.0,,3.0,Only dropped the kong for food reward,,0,0.0,,Definitely interested in the dog but does not move from sit and constantly looks at handler for support.,,1.0,1.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,3.0,4.0,No,,,,1.0,1.0,4.0,,2.0,,,4.0,3.0,3.0,2.0,1.0,No,,,5.0,Jumped up at handler.,,,3.0,,She did launch toward the bucket but not because of the noise - she launched at it before the bucket was dropped. I would say this is more the assessor and/or the appearance of the bucket. When the bucket was dropped she wasnt affected at all.,,,,,,,,,,,
Illana,11-27-II,1,2019-12-18,B,LRxGR,F,I,IGDB,DSM,28/06/2018,18/11/2019,15/07/2020,AD,,,1.0,5.0,1.0,,,1.0,,,3,2,2,2,,,3,,,1.0,,,1,1.0,,,,4.0,2,,,,couldn't see if she licks or mouths as handler was in front of camera,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,,,,6,5,4,6,6,,,5.0,3,5.0,5,,,,2,sits,,,3.0,1,1.0,,2.0,"dog has back to camera, can't see paws",,4,2.0,,dog was initially distracted by treat pouch and didn't realise distraction dog was there,,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,No,,,,2.0,1.0,2.0,,2.0,,,3.0,3.0,2.0,1.0,1.0,No,,,2.0,,,,3.0,,,,,,,,,,,,,
Kyle,12-11-LK,1,2020-01-29,B,LRxGR,M,K,IGDB,Mags,02/08/2018,09/01/2020,28/09/2020,GD,,,1.0,5.0,1.0,,,1.0,,,1,1,1,3,,,3,,,1.0,,,3,3.0,,,,4.0,3,No,No,,,,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,,,4,4,3,5,3,3.0,3.0,,3,4.0,5,,,,2,sits,,None,2.0,1,1.0,,3.0,,,5,2.0,,,,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,4.0,2.0,2.0,1.0,1.0,No,,,3.0,,,,3.0,,,,,,,,,,,,,
Niamh,01-04-LN,1,2020-01-29,B,LRxGR,F,N,IGDB,Graham,23/12/2018,09/01/2020,05/10/2020,GD,,,2.0,4.0,2.0,,,2.0,,,2,3,2,2,,,2,,,1.0,,,3,2.0,,handler stayed crouched down and used food,,4.0,4,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,2,3,3,4,1,3.0,3.0,4.0,3,3.0,5,,,,2,"activated initially, sits for awhile and then walks away after a while",,None,3.0,1,1.0,,2.0,,,4,1.0,,,,2.0,1.0,4.0,4.0,1.0,1.0,3.0,4.0,1.0,3.0,3.0,No,,,,1.0,1.0,3.0,,3.0,,,3.0,3.0,5.0,2.0,1.0,No,,,4.0,,,,4.0,,,,,,,,,,,,,
Milo,12-03-LM,1,2020-01-09,A,LR,M,M,IGDB,Rose,25/08/2018,09/12/2019,24/08/2020,AD,,,,5.0,,Handler didnt enter the testing area during the familiarisation process. Marked orientation and waiting as n/a due to this.,,1.0,Dog followed handler as soon as she entered the testing area,,1,1,1,2,,,2,Wanted to sit and move in front of handler - seemed confused by exercise a little. No platform used. ,,1.0,"Moved to slightly face handler for sit. Slight lazy sit. Bored quickly. Pawed at handlers legs for attention, and jumped up. ",,4,2.0,,Handler crouches next to dog. Tail wagging excitedly. ,,4.0,4,No,No,,,,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,,Turned head once in the second attempt but just out of curiosity and had been walking around completely indifferent for the most of the test. ,,3,3,3,4,1,2.0,2.0,2.0,2,3.0,6,,,,5,Doesnt jump but does stand up on hindquarters to sniff the kong in the handlers hands,,Both,3.0,1,2.0,,2.0,,,5,0.0,,,,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,No,,,,1.0,1.0,3.0,,3.0,,,5.0,2.0,1.0,1.0,1.0,No,,Explores around perimeters of the gate,3.0,,,,3.0,,,,,,,,,,,,,
Mandy,01-02-LM,1,2020-01-30,B,LR,F,M,IGDB,Rose,25/08/2018,06/01/2020,20/07/2020,AD,,,2.0,4.0,2.0,,,1.0,,,1,1,1,3,,,1,,,4.0,,,1,2.0,,dog stayed crouched beside the dog and constantly used food,,,3,No,No,,handler said that dog wouldn't go on table,,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,,,,2,2,2,4,2,2.0,2.0,4.0,3,3.0,4,,,,2,sitting,sits,Righ,3.0,1,2.0,,2.0,dog was on lead,,3,0.0,,,,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,,,,2.0,1.0,4.0,,4.0,,,4.0,2.0,1.0,1.0,1.0,No,,,4.0,,,,4.0,,,,,,,,,,,,,
Ozark,01-14-LO,1,2020-02-19,B,LRxGR,M,O,IGDB,Graham,12/01/2019,21/01/2020,29/06/2020,AD,,,1.0,5.0,1.0,,,1.0,,,2,3,2,2,,,2,,,3.0,,,3,3.0,,,,2.0,3,No,No,,,,,,,,,,,,,,,,,not done -forgotten,,5,4,4,5,2,3.0,3.0,5.0,4,5.0,5,,,,5,"sits and jumps up, then sits again",,Left,3.0,1,1.0,,2.0,,,5,,,"handler didn't call dog back, dog went into crate by himself",,1.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,No,,,,1.0,1.0,3.0,,3.0,,,2.0,4.0,4.0,,1.0,No,,,3.0,,,,3.0,,,,,,,,,,,,,
