Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,DOB,DOA,End Date,Duration,Status,Label,Outcome,BT Start,BT Duration,Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Response,Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Response,Sitting-Response,Lying-Response,Lying-Settled,Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Return-Handler,Dog-Response,Dog-Call Back Response,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Responsiveness-After,Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Reunion-Response,Noise-Confidence,S-Walking-Pull_mean,S-Walking-Pull_prod,S-Distractions-Pull_mean,S-Distractions-Pull_prod,S-Walking-Distractions-Pull_mean,S-Walking-Distractions-Pull_prod,S-Familiarisation-Handler_mean,S-Familiarisation-Handler_prod,S-Call-Response_mean,S-Call-Response_prod,S-Familiarisation-Dog-Call,S-Obedience_mean,S-Obedience_prod,S-Sensitivity_mean,S-Sensitivity_prod,S-Tea Towel-First Response,S-Tea Towel-Second Response,S-Distractions-First Response_mean,S-Distractions-First Response_prod,S-Distractions-Second Response_mean,S-Distractions-Second Response_prod,S-Distractions-Difference_mean,S-Kong-Response_mean,S-Kong-Response_prod,S-Dog-Distraction_mean,S-Dog-Distraction_prod,S-Crate-Response_mean,S-Crate-Response_prod,S-Crate-Stimulus_mean,S-Crate-Stimulus_prod,S-Crate-Handler_mean,S-Crate-Handler_prod,S-Petting-Stimulus-During_mean,S-Petting-Stimulus-During_prod,S-Petting-Engagement-During_mean,S-Petting-Engagement-During_prod,S-Petting-After_mean,S-Petting-After_prod,S-Isolation-Handler_mean,S-Isolation-Handler_prod,S-Isolation-Stimulus,S-Sociability_mean,S-Sociability_prod
Irrie,09-01-LI,1,02/10/2019,A,LRxGR,F,I1,IGDB,28/06/2018,04/09/2019,27/07/2020,327 days,GD,2,Success,14:43:32,00:17:43,1,5,1,3,3,1,1,3,2,1,1,1,4,2,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,6,4,3,2,3,3,2,3,3,4,6,4,Excited and activated - regularly lift hind quarters off the floor and changing position. No terrible inappropriate behaviour shown and no jumping up. Didnt notice kong until shown by the handler as she was very distracted by the assessor that had passed with the teddy and/or food etc. ,None,3,1,1,2,6,2,1,1,3,2,1,1,1,,,2,2,No,1,2,3,4,3,4,2,,1,No,2,4,1,1,3.5,12,2.5,11,1,1,2.5,6,1,1.333333333,2,1.5,0,0.666666667,0,3.75,144,2.75,54,-1,2.5,24,4,12,2.25,16,1.5,3,2,2,2,3,2.5,6,3,8,2,3,2,3,24
Judson,09-02-LJ,1,02/10/2019,A,LR,M,J1,IGDB,03/07/2018,04/09/2019,08/06/2020,278 days,GD,2,Success,14:13:07,00:17:43,2,5,1,1,3,1,1,2,1,2,4,3,4,1,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,3,3,3,5,3,3,2,3,4,4,6,5,Doesnt jump up but barks and whines.,None,3,3,1,2,5,2,1,2,3,,1,1,1,,1,1,2,No,1,1,3,3,5,1,1,5,3,No,4,3,1,1,4,16,3,15,1.5,2,1.5,2,-1,2.333333333,8,1.5,0,0.833333333,0,3.5,135,2.75,54,-0.75,2.75,30,3.5,10,1.75,6,1.5,3,1,1,2,3,2,3,2,3,4.333333333,75,0,3.333333333,36
Josie,09-03-LJ,1,02/10/2019,A,LR,F,J1,IGDB,03/07/2018,04/09/2019,17/08/2020,348 days,GD,2,Success,15:15:56,00:17:43,2,5,1,1,2,1,1,2,1,1,3,3,4,3,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,1,3,4,1,3,2,2,1,1,1,6,2,"At first seems partially interested but does turn attention away every now and then. Quickly loses interest, walks away/explores. Handler calls back and the dog gets more interested - higher activation and barking from excitement. ",Righ,3,2,1,2,5,2,1,1,2,5,1,2,4,3,4,3,4,No,1,1,5,4,5,1,3,1,5,No,4,3,1,1,1,1,0,0,1.5,2,1.5,2,-1,1.666666667,3,1.75,0,1.833333333,1.666666667,2.25,12,2,12,-0.25,2,12,3.5,10,3,48,2.25,16,4,60,3,5,3,5,2.5,4,3.666666667,25,-2,4.333333333,80
Hans,08-03-LH,1,23/09/2019,B,LRxGR,M,H1,IGDB,11/05/2018,21/08/2019,12/02/2020,175 days,AD,1,Success,15:23:01,00:14:52,2,5,1,1,2,4,2,3,2,3,4,3,2,3,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4,4,3,5,4,4,4,4,4,5,6,2,sits calmly,,2,3,1,,7,1,1,2,2,2,1,1,1,1,2,3,2,No,1,1,4,5,5,1,2,2,1,No,5,4,3,8,4.5,20,1.5,12,1.5,2,1,1,0,3,24,1.25,0,3.5,3.5,4,240,4,256,0,1.666666667,4,4,7,2.25,18,1.25,2,1.666666667,4,2.5,4,2.5,4,3,5,2.666666667,10,-1,4.666666667,100
Jira,08-11-LJ,1,23/09/2019,B,LR,F,J1,IGDB,03/07/2018,28/08/2019,03/02/2020,159 days,GD,2,Success,14:03:02,00:13:59,1,5,1,2,1,1,1,3,2,3,3,3,2,3,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,4,5,5,6,3,4,4,6,4,5,7,2,sat,None,2,1,,2,4,1,1,1,2,4,1,1,3,2,4,3,2,No,1,1,3,4,5,1,2,2,4,No,2,4,1,1,4.5,20,3.5,19,1,1,1.5,2,1,2.666666667,18,1.25,0,3.5,1,5,600,4.25,288,-0.75,2,8,2.5,4,2.5,24,1.75,6,3.333333333,32,2,3,2,3,2.5,4,3.666666667,40,-1,3,24
Harmony,08-04-LH,1,18/09/2019,B,LRxGR,F,H1,IGDB,11/05/2018,21/08/2019,29/11/2019,100 days,AD,1,Success,14:38:57,00:12:20,3,3,2,,1,1,1,3,3,2,2,3,4,3,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2,3,3,5,4,3,3,5,3,3,4,5,jumps at handler twice,None,3,1,1,2,5,2,1,3,3,1,1,1,1,1,1,2,2,No,1,1,3,4,3,3,1,1,1,No,1,4,1,1,3,9,2,8,2.5,6,2,2,,2.333333333,12,1.75,0,1.166666667,2.5,3.25,90,3.75,180,0.5,2.75,30,3.5,10,1.75,8,1.5,3,1,1,2,3,2,3,2.5,4,1.666666667,3,2,2.666666667,12
Jazzi,09-04-LJ,1,02/09/2019,A,LR,F,J1,IGDB,03/07/2018,04/09/2019,27/07/2020,327 days,GD,2,Success,15:41:42,00:11:15,2,5,1,1,2,1,1,2,1,1,1,1,4,3,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,4,2,3,1,5,2,2,4,3,3,4,5,"Edging forward, backing up and going side to side. Small jumps on all fours. Doesnt jump up at handler but still overly interested ",Both,3,3,1,2,3,4,1,3,2,2,1,1,1,,1,1,2,No,1,1,4,4,5,1,2,3,1,No,4,3,1,1,3,9,2,8,1.5,2,2.5,4,-3,1,1,1.75,0,0,0,2.5,24,3.25,80,0.75,2.75,30,3.5,12,1.5,4,1.25,2,1.5,2,2.5,4,2.5,4,2.5,4,3,15,-1,4,64
Hollie,10-02-LH,1,24/10/2019,A,LRxGR,F,H1,IGDB,11/05/2018,02/10/2019,26/11/2019,55 days,W,0,Fail,13:57:50,00:06:23,3,5,1,1,1,2,2,2,3,4,3,4,1,2,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,2,2,4,4,2,2,4,4,3,3,4,5,Very enthralled and jumps out at handler twice,Righ,3,1,1,2,8,3,,,,,,,,,,,,,1,3,3,4,5,1,2,2,4,No,4,6,2,4,3,9,1,5,2,3,2,3,-2,3.333333333,36,0.75,0,0,1,3,64,3,64,0,2.75,30,5.5,24,,1,,1,,1,2,3,3,9,3.5,12,3.666666667,40,-1,3.666666667,48
Fergus,10-01-LF,1,24/10/2019,B,LR,M,F1,IGDB,16/03/2018,02/10/2019,28/01/2020,118 days,AD,1,Success,15:09:44,00:12:39,2,4,2,1,1,1,1,3,3,2,4,4,2,3,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,3,3,3,4,3,3,3,4,3,3,4,2,"sits, then gives a nudge to the handler",Righ,3,1,2,2,5,2,1,4,3,1,1,1,1,1,1,1,2,No,1,1,3,4,4,2,2,2,1,No,4,4,1,1,3,9,2,8,2,4,1.5,2,-1,3,24,1.25,0,1.166666667,1.666666667,3.25,108,3.25,108,0,2.25,24,3.5,10,1.25,2,1.5,3,1,1,2,3,2,3,2.5,4,2.333333333,8,0,3.666666667,48
Jane,10-04-LJ,1,24/10/2019,A,LR,F,J1,IGDB,03/07/2018,02/10/2019,14/02/2020,135 days,AD,1,Success,14:44:43,00:13:32,2,5,1,1,2,1,1,3,1,3,3,4,4,4,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3,2,3,5,2,2,2,3,2,2,4,2,Dog on lead. Anxious behaviour - lip smacking and moving head closer>> maintains sit nicely though,Left,3,1,1,3,4,1,1,2,3,3,1,1,1,3,1,2,2,No,1,1,2,4,4,3,2,1,1,No,2,4,1,1,2,4,1,3,1.5,2,1,1,0,2.333333333,9,2,0,0,0,3.25,90,2.25,24,-1,2.25,18,2.5,4,2,12,1.5,3,2.333333333,9,1.5,2,1.5,2,2.5,4,2,4,1,2.666666667,16
Hayley,08-12-LH,1,23/09/2019,B,LRxGR,F,H1,IGDB,11/05/2018,28/08/2019,04/12/2019,98 days,W,0,Fail,13:26:55,00:16:02,2,4,1,1,3,4,4,1,1,2,3,2,,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,4,3,3,4,3,3,3,4,3,3,4,5,jumps at handler twice,Left,3,1,1,2,7,4,4,,,,,,,,,,,,1,1,3,4,4,1,3,1,4,No,4,4,4,16,3,9,-1,-7,1.5,2,2.5,4,-3,2,6,1,0,2.5,3.5,3.5,144,3.25,108,-0.25,2.75,30,5.5,28,4,4,,1,,1,2,3,2,3,2.5,4,3,16,-2,3.666666667,48
Idris,10-14-LI,1,06/11/2019,B,LRxGR,M,I1,IGDB,28/06/2018,17/10/2019,12/02/2020,118 days,W,0,Fail,13:58:19,00:14:01,2,3,2,1,1,1,1,2,2,2,4,3,4,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,3,4,4,4,3,3,3,4,3,3,5,4,sits and then goes down ,Left,3,3,1,2,5,,1,2,4,1,1,2,1,1,1,2,2,No,1,1,3,4,5,1,4,1,1,No,5,4,1,1,3,9,2,8,2,4,1,1,,2.666666667,16,1.75,0,2.5,1,3.75,192,3.25,108,-0.5,2.5,24,5,5,2,12,2,8,1,1,2,3,2,3,2.5,4,2.333333333,5,-3,4,60
Mac,11-01-LM,1,18/12/2019,B,LR,M,M1,IGDB,25/08/2018,04/11/2019,03/01/2020,60 days,W,0,Fail,15:05:53,00:14:29,1,5,1,2,3,1,1,3,2,2,4,3,1,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,5,5,5,6,3,4,5,5,4,5,6,4,sat,Left,3,1,2,2,6,1,1,4,3,1,1,1,1,1,1,1,2,No,1,1,3,4,3,3,3,1,1,No,4,5,1,1,4.5,20,3.5,19,1,1,1.5,2,1,2.666666667,16,1,0,2.5,1.666666667,5.25,750,4.25,300,-1,2.75,48,3.5,6,1.25,2,1.5,3,1,1,2,3,2,3,2.5,4,1.666666667,3,0,3.666666667,48
July,10-03-LJ,1,30/10/2019,B,LR,F,J1,IGDB,03/07/2018,17/10/2019,08/06/2020,235 days,AD,1,Success,14:43:59,00:13:20,1,5,1,2,3,1,1,3,1,4,2,3,4,3,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4,4,1,5,2,3,2,3,3,5,5,5,"sat, jumped up a few times",Left,3,3,1,2,5,3,1,2,2,4,1,1,1,4,1,3,2,No,1,1,3,4,4,2,2,3,1,No,4,4,1,1,4,15,3,14,1,1,2.5,6,-1,2.333333333,8,1.75,0,1.666666667,0.166666667,3.5,80,2.5,36,-1,2.75,30,4,15,2.25,18,1.25,2,3,16,2,3,2,3,2.5,4,2.666666667,12,0,3.666666667,48
Kirby,10-15-LK,1,01/11/2019,A,LRxGR,M,K1,IGDB,02/08/2018,09/10/2019,20/07/2020,285 days,AD,1,Success,13:41:02,00:17:23,2,5,2,1,1,1,1,2,3,2,4,4,4,4,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,3,3,3,5,2,2,2,5,2,3,5,2,Sat and then lay down - no inappropriate behaviour at all. Stared very intently at the kong and showed a definite interest.,None,3,3,1,2,4,1,1,5,2,1,1,1,1,1,1,1,1,No,1,1,3,4,5,1,2,2,3,No,5,4,1,1,2.5,6,1.5,5,2,4,1,1,0,3,24,2,0,0.666666667,1,3.5,135,2.75,40,-0.75,2,12,2.5,4,0.75,0,1.25,2,1,1,2,3,2,3,2.5,4,3.333333333,30,-1,4,60
Kacie,10-31-LK,1,14/11/2019,A,LRxGR,F,K1,IGDB,02/08/2018,24/10/2019,08/06/2020,228 days,AD,1,Success,14:43:36,00:13:49,1,5,1,1,3,1,1,2,1,1,4,2,4,3,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,3,4,1,3,4,5,3,2,4,4,6,5,"Very restless - jumps up, backs up, whines and when she thinks shes not getting her way she explores",None,4,3,3,2,4,1,1,2,4,3,1,1,1,2,3,3,3,No,1,1,4,4,5,1,2,2,4,No,5,3,1,1,4,16,3,15,1,1,1,1,0,2,4,1.75,0,1.833333333,2.5,2.75,36,3.5,120,0.75,3.5,120,2.5,4,2.5,27,1.75,4,2.666666667,18,2.5,4,2.5,4,2.5,4,3.666666667,40,-1,4.333333333,80
Meeko,11-02-IM,1,18/12/2019,A,LR,M,M1,IGDB,25/08/2018,04/11/2019,29/05/2020,207 days,W,0,Fail,14:06:42,00:14:55,3,5,2,2,3,1,1,3,2,2,3,2,2,4,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,4,3,2,4,4,4,2,3,2,2,6,2,Moves position and stares intensely,,,1,,,3,3,2,2,3,1,1,1,1,1,1,1,2,No,1,1,4,4,5,1,2,1,1,No,5,3,1,1,2,4,1,3,2.5,6,2.5,6,-1,2.333333333,12,1.5,0,1,1,3.25,96,3.25,96,0,2,2,3,9,2,12,1.5,3,1,1,2.5,4,2.5,4,2.5,4,2.333333333,5,-1,4.333333333,80
Kelvin,10-13-LK,1,01/11/2019,B,LRxGR,M,K1,IGDB,02/08/2018,07/10/2019,22/06/2020,259 days,GD,2,Success,14:16:41,00:15:40,2,4,1,,1,2,2,2,4,2,2,2,4,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,6,5,4,3,6,4,4,,4,5,6,4,"sits and breaks it to move nearer to handler, nudges handler ",Both,3,1,1,3,6,2,1,2,2,4,1,1,1,2,4,3,2,No,1,1,3,5,3,3,3,2,4,No,5,4,2,4,4.5,20,2.5,16,1.5,2,2,2,,2.666666667,16,1.75,0,2.5,3.5,4.5,360,4.666666667,96,-0.333333333,2.75,36,4,12,2.25,18,1.25,2,3.333333333,32,2,3,2,3,3,5,3,24,0,4.333333333,75
Kain,11-11-IK,1,18/12/2019,A,LRxGR,M,K1,IGDB,02/08/2018,12/11/2019,15/07/2020,246 days,AD,1,Success,14:35:47,00:15:11,2,4,1,2,3,1,1,2,3,3,3,1,4,3,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,6,5,5,6,6,4,4,6,4,5,6,5,Jumps up at handler in the beginner - does modulate but I dont think he would have maintained much longer than he did. ,Left,4,1,2,2,4,4,3,2,2,1,1,1,1,1,1,1,2,No,1,1,3,4,5,1,2,1,1,No,5,3,1,1,4.5,20,3.5,19,1.5,2,3,8,-2,3,27,1.75,0,1.833333333,2.833333333,5.5,900,5,576,-0.5,3.25,80,4,16,2.25,18,1.25,2,1,1,2,3,2,3,2.5,4,2.333333333,5,-1,4,60
Katie,11-21-IK,1,12/12/2019,B,LRxGR,F,K1,IGDB,02/08/2018,19/11/2019,08/06/2020,202 days,AD,1,Success,14:38:08,00:14:19,1,5,1,1,2,2,2,1,2,2,2,2,2,3,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,4,4,4,4,3,3,3,3,3,4,5,5,"sits, jumps at handler, down, sits, down, sits",None,3,3,2,2,5,2,1,3,2,2,1,1,1,2,1,2,2,No,1,1,2,3,2,4,3,2,1,No,4,4,2,4,3.5,12,1.5,8,1,1,1.5,2,-1,2,8,1.25,0,2.5,1.166666667,4,256,3,81,-1,3,60,3.5,10,1.75,8,1.25,2,1.666666667,4,1.5,2,1.5,2,2,3,1.666666667,4,1,3,24
Mara,11-12-IM,1,18/12/2019,A,LR,F,M1,IGDB,25/08/2018,12/11/2019,03/01/2020,52 days,W,0,Fail,13:35:03,00:15:51,3,5,1,1,3,1,1,3,2,2,3,3,1,3,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,4,3,2,5,2,2,3,4,3,3,5,4,Edges closer to the handler and sniffs the kong. ,Left,3,1,1,2,6,2,1,4,2,1,1,1,1,1,1,1,1,No,1,1,3,3,3,4,2,2,1,No,4,3,1,1,3,9,2,8,2,3,1.5,2,-1,2.333333333,12,1,0,0,0,3.5,120,2.75,48,-0.75,2.5,24,4,12,1,1,1.25,2,1,1,2,3,2,3,2,3,2,6,2,3.333333333,36
Kaiser,11-24-IK,1,13/12/2019,A,LRxGR,M,K1,IGDB,02/08/2018,20/11/2019,20/07/2020,243 days,GD,2,Success,14:36:49,00:16:19,2,5,2,1,3,2,2,1,3,1,1,1,4,4,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,6,4,4,4,1,2,3,4,4,5,6,5,"Activated, lip smacking, whining, barking, attention seeking, jumping up at handler",None,4,3,3,3,7,2,2,1,3,2,1,1,1,2,1,2,3,No,1,1,3,3,4,3,2,2,1,No,2,4,2,4,4.5,20,2.5,16,2,4,1.5,2,-1,1.666666667,3,2,0,1.833333333,1.166666667,4.5,384,2.5,24,-2,3.75,180,4.5,14,2.75,48,1.5,3,1.666666667,4,2,3,2,3,2,3,2.333333333,8,1,2.666666667,18
Meg,11-22-IM,1,12/12/2019,B,LR,F,M1,IGDB,25/08/2018,19/11/2019,31/01/2020,73 days,W,0,Fail,13:40:24,00:17:40,2,4,2,1,1,1,1,4,4,3,1,,4,3,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,4,4,3,4,3,4,3,3,2,2,5,2,sits,None,3,3,2,2,4,1,2,2,3,1,1,1,1,1,1,2,2,No,1,1,3,4,5,1,1,1,1,No,4,4,1,1,2,4,1,3,2,4,1,1,0,2.666666667,12,1.75,0,1,1.666666667,3.75,192,3.25,108,-0.5,2.25,24,2.5,4,2.25,24,1.5,3,1,1,2,3,2,3,2.5,4,2.333333333,5,0,3.666666667,48
Tosh,11-23-IT,1,12/12/2019,B,GR,M,T1,GDBUK,25/09/2018,19/11/2019,20/01/2020,62 days,W,0,Fail,14:13:15,00:14:28,2,5,1,1,2,1,1,4,2,2,3,3,3,3,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,3,3,3,3,3,3,3,3,1,1,4,2,sits,Left,3,1,2,2,4,1,2,2,3,1,1,1,1,1,1,2,2,No,1,1,3,4,2,4,1,1,1,No,4,3,1,1,1,1,0,0,1.5,2,1,1,0,2.333333333,12,1.5,0,1,0.5,3,81,3,81,0,2.25,24,2.5,4,2.25,24,1.5,3,1,1,2,3,2,3,2.5,4,1.333333333,2,3,3.666666667,48
Lexie,11-26-IL,1,12/12/2019,B,LR,F,L1,IGDB,17/08/2018,19/11/2019,20/07/2020,244 days,AD,1,Success,13:12:41,00:14:00,1,5,1,1,1,1,2,4,3,3,4,4,3,2,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,4,5,3,1,1,4,1,1,2,5,7,4,sits,None,3,1,4,2,4,1,1,4,2,1,1,1,1,1,1,1,2,No,1,1,4,6,2,4,1,1,1,No,4,4,1.5,2,3.5,10,2,8,1,1,1,1,0,3.333333333,36,1.5,0,2.5,0.5,3.25,60,1.75,4,-1.5,3.25,96,2.5,4,1.25,2,1.25,2,1,1,2.5,4,2.5,4,3.5,6,1.333333333,2,3,4.666666667,96
Jessie,11-25-IJ,1,13/12/2019,A,LR,F,J1,IGDB,03/07/2018,20/11/2019,31/07/2020,254 days,GD,2,Success,14:07:16,00:14:54,3,5,2,1,1,1,1,2,1,1,2,1,4,3,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,1,3,2,4,1,2,2,2,2,3,3,2,Lay down after sitting staring for a while,None,3,3,1,2,6,1,1,1,4,2,1,1,1,2,1,2,2,No,1,1,2,4,4,2,3,3,1,No,5,3,1,1,2.5,6,1.5,5,2.5,6,1,1,0,1.333333333,2,1.75,0,1,0,2.5,24,1.75,8,-0.75,2,12,3.5,6,2.25,16,1.75,4,1.666666667,4,1.5,2,1.5,2,2.5,4,2.666666667,12,-1,3.666666667,40
Zander,11-28-IZ,1,13/12/2019,A,LR,M,Z2,Cesecah,19/10/2018,18/11/2019,10/03/2020,113 days,W,0,Fail,15:37:45,00:13:58,1,5,1,1,1,1,1,2,4,1,1,1,3,4,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,1,3,2,3,3,2,2,3,2,2,6,5,"Jumping up, sitting up on hind quarts (lifts forepaws off the floor), lying down, shifting and restless",,3,1,1,3,3,2,1,2,4,1,1,2,1,1,1,1,2,No,1,1,2,4,4,3,2,3,1,No,6,4,1,1,2,4,1,3,1,1,1.5,2,-1,2,4,1.75,0,0,0,2.25,18,2.5,36,0.25,3,45,2.5,6,1.75,6,2,8,1,1,1.5,2,1.5,2,2.5,4,2.666666667,12,1,4,48
Kali,12-01-LK,1,09/01/2020,A,LRxGR,F,K1,IGDB,02/08/2018,11/12/2019,29/06/2020,201 days,GD,2,Success,13:09:10,00:13:35,,5,,1,3,2,2,2,4,1,4,2,4,2,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,4,4,4,1,1,5,2,1,3,4,6,4,"Would select n/a if it was here as the kong wasnt really introduced in the normal way, however, the initial reaction was high interest. ",Left,3,3,1,2,5,2,1,1,2,3,1,1,1,3,1,2,2,No,1,1,3,3,4,2,3,3,2,No,6,3,2,4,3.5,12,1.5,8,,1,1.5,2,-1,3,16,1.5,0,1.666666667,0,3.25,64,2.25,10,-1,2.5,24,3.5,10,2.25,16,1.25,2,2.333333333,9,2,3,2,3,2,3,3,24,-1,4,54
Illana,11-27-II,1,18/12/2019,B,LRxGR,F,I1,IGDB,28/06/2018,18/11/2019,15/07/2020,240 days,AD,1,Success,13:08:40,00:18:56,1,5,1,1,3,2,2,2,3,1,1,1,4,2,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,6,5,4,6,6,,,5,3,5,5,2,sits,,3,1,1,2,5,3,1,3,3,1,1,1,3,1,1,2,2,No,2,1,2,3,3,3,2,1,1,No,3,3,2,4,4,15,2,11,1,1,2,3,-2,1.666666667,3,3,8,2.5,1.666666667,5.25,720,5.5,30,-0.5,2,12,4,15,1.75,8,2,9,1,1,2,4,1.5,2,2,3,1.666666667,3,1,2.666666667,18
Kyle,12-11-LK,1,29/01/2020,B,LRxGR,M,K1,IGDB,02/08/2018,09/01/2020,28/09/2020,263 days,GD,2,Success,13:19:22,00:14:00,1,5,1,1,1,1,1,3,3,1,3,3,4,3,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,4,4,3,5,3,3,3,,3,4,5,2,sits,None,2,1,1,3,6,3,2,4,2,1,1,1,1,1,1,1,2,No,1,1,3,4,4,2,2,1,1,No,4,3,1,1,3.5,12,2.5,11,1,1,2,3,-2,2.333333333,9,1.75,0,0.5,3.5,4,240,3,27,-0.666666667,2,12,4.5,18,1.5,4,1.25,2,1,1,2,3,2,3,2.5,4,2,4,0,3.666666667,48
Niamh,01-04-LN,1,29/01/2020,B,LRxGR,F,#REF!,IGDB,23/12/2018,09/01/2020,05/10/2020,270 days,GD,2,Success,14:41:40,00:13:49,2,4,2,2,2,3,2,2,2,1,3,2,4,4,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,2,3,3,4,1,3,3,4,3,3,5,2,"activated initially, sits for awhile and then walks away after a while",None,3,1,1,2,5,2,2,1,4,4,1,1,3,4,1,3,3,No,1,1,3,4,3,3,5,2,1,No,5,4,2.5,6,3,9,0.5,3,2,4,2,4,0,2,6,2,0,2.5,2.5,3,72,2.75,36,-0.25,2,12,3.5,10,3,72,2.25,12,3,16,2,3,2,3,2.5,4,2,6,-2,4,60
Mandy,01-02-LM,1,30/01/2020,B,LR,F,M1,IGDB,25/08/2018,06/01/2020,20/07/2020,196 days,AD,1,Success,13:02:36,00:15:17,2,4,2,1,1,1,1,3,1,4,1,2,,3,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,2,2,2,4,2,2,2,4,3,3,4,2,sitting,Righ,3,1,2,2,4,1,2,2,3,1,1,1,1,1,1,2,2,No,2,1,4,5,4,2,1,1,1,No,5,4,1,1,3,9,2,8,2,4,1,1,0,2,4,1,0,1,1,2.5,32,2.5,32,0,2.25,24,2.5,4,2.25,24,1.5,3,1,1,3,8,2.5,4,3,5,2,4,1,4.666666667,100
Ozark,01-14-LO,1,19/02/2020,B,LRxGR,M,O1,IGDB,12/01/2019,21/01/2020,29/06/2020,160 days,AD,1,Success,14:45:42,00:14:41,1,5,1,1,2,3,2,2,2,3,3,3,2,3,No,No,,,,,,,,,,,,,5,4,4,5,2,3,3,5,4,5,5,5,"sits and jumps up, then sits again",Left,3,1,1,2,6,,1,1,4,3,2,3,1,2,3,3,3,No,1,1,3,4,2,4,4,,1,No,4,3,2.5,6,4.5,20,2,14,1,1,1,1,,2.666666667,18,1.25,0,,,4.5,400,3.25,90,-1.25,2.75,30,6,6,2.75,36,2.5,24,2.666666667,18,2,3,2,3,2.5,4,1.5,2,0,3.666666667,48
