Name,Code,Data Collection Number,Assessor,Breed,Sex,Litter,Source,PR Sup,DOB,DOA,Data Collection Date,End Date,Status,Timestamp,Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Start Time (MM:SS) ,Call Back-Response,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Start Time (MM:SS) ,Standing-Attempts ,Standing-Response,Sitting-Start Time (MM:SS) ,Sitting-Attempts,Sitting-Response,Lying-Start Time (MM:SS) ,Lying-Attempts,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Body check-Start Time (MM:SS),Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea towel-Second Response [Indifferent],Tea towel-Second Response [Turns head],Tea towel-Second Response [Attempts to/Removes towel by moving],Tea towel-Second Response [Attempts to/Removes towel with mouth],Tea towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Distractions-Start Time (MM:SS),Distractions-First Response [Object],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Object],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Finish Time (MM:SS) ,Kong-Concentration-Start Time (MM:SS) ,Kong-Concentration-Response ,Kong-Retrieve-Start Time (MM:SS) ,Kong-Retrieve-Lateralisation,Kong-Retrieve-Response to stimulus,Kong-Retrieve-Response to assessor,Kong-Retrieve-Back,Kong-Retrieve-Finish Time (MM:SS),Dog-Start Time (MM:SS) ,Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Relaxing],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Attention Seeking],Crate-Behaviours [Digging],Crate-Behaviours [Licking/Mouthing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Response,Crate-Urinating,Crate-Finish Time (MM:SS),Petting-Start Time (MM:SS),Petting-Stimulus,Petting-Holding dog,Petting-Finish Time (MM:SS),Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Locomotion],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Noise-Time (MM:SS),Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Data Collection Date,Data Collection Number,Short Barks Count,Continuous Barks Duration,Continuous Barks Count,Whines Duration,Whines Count,Shakes Count,Jumps Count
Effie,07-13-LE,2,Hazel,LRxGR,F,E,IGDB,Graham,12/03/2018,30/07/2019,10/10/2019,03/02/2020,GD,1/22/2020 14:39:01,2,3,1:11,,1:16,1,1,1,2,2:35,1,4,3:09,1,4,4:13,7,1,1,6:05,6:38,4,No,No,7:15,7:48,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,8:23,9:20,2,2,2,3,2,2,2,2,2,2,9:54,10:38,3,11:05,Righ,3,1,2,12:00,12:33,3,0,13:20,13:53,1,3,2,1,1,1,1,1,1,No,15:01,15:03,3,Never,15:23,15:41,4,1,1,1,1,No,16:34,17:31,15:19; 16:44,16:49,,na,,,,,,03:56,10/10/2019,2,,,,,,1.0,2.0
Gretel,07-14-LG,2,Hazel,LRxGR,F,G,IGDB,Catherine,15/04/2018,21/07/2019,10/10/2019,29/11/2019,AD,1/22/2020 15:01:50,3,3,1:28,1,1:38,1,1,1,2, 3:38,1,4,4:26,1,3,5:37,2,3,3,6:40,7:32,3,No,Yes,8:16,8:36,No,Yes,No,Yes,No,No,Yes,No,Yes,No,9:25,10:01,1,2,2,5,3,2,2,3,2,3,10:44,11:08,3,11:30,Left,3,1,2,11:55,12:18,1,0,12:54,13:07,1,2,2,2,1,2,1,1,2,No,14:14,14:16,3,Never,14:48,15:05,3,2,1,1,1,No,16:27,17:03,10:59; 11:01; 14:43; 14:45,00:23; 08:27; 14:49,,na,,,,,,05:00,10/10/2019,2,,,,,,3.0,4.0
Goober,07-01-LG,1,Hazel,LRxGR,M,G,IGDB,Graham,15/04/2018,02/07/2019,29/07/2019,03/02/2020,GD,1/22/2020 15:32:42,4,1,1:12,2,1:27,2,1,1,2,6:54,1,4,3:56,1,4,4:47,7,1,1,7:38,7:45,4,No,No,8:15,8:31,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,8:59,9:37,5,5,3,5,4,3,2,5,4,3,10:32,10:59,3,11:40,Left,3,1,2,12:05,12:29,5,1,12:50,13:12,1,1,2,3,1,1,3,1,3,No,14:21,14:34,2,Never,14:49,14:55,3,2,1,2,1,No,16:00,16:38,,00:21; 12:56; 13:00,,13:28-13:30; 13:53-13:55; 14:10; 15:10,11:35,,,,,,29/07/2019,1,1.0,,,6.0,4.0,3.0,
Harry,08-01-LH,2,Hazel,LRxGR,M,H,IGDB,Rose,05/11/2018,21/08/2019,30/10/2019,29/11/2019,AD,1/22/2020 17:14:22,4,1,1:06,1,1:13,1,1,1,2,2:20,3,3, 3:12,1,4,4:15,3,3,2,5:10, 5:45,4,No,No,6:25,6:36,Yes,Yes,No,No,No,No,Yes,No,Yes,No,7:14,7:58,6,3,3,4,2,3,2,2,2,2,8:49,9:10,3,9:53,Left,3,2,2,10:18,10:43,4,1,11:17, 11:47,1,4,2,1,1,2,1,1,1,No,13:10,13:18,1,Never,13:42,13:59,4,1,1,2,1,No,15:06,16:00,,00:58,,14:48,,,,,4:38,,30/10/2019,2,,,,1.0,1.0,1.0,
Harvey,08-02-LH,2,Hazel,LRxGR,M,H,IGDB,Rose,05/11/2018,21/08/2019,30/10/2019,28/01/2020,AD,1/22/2020 17:26:16,3,2,1:08,1,1:13,1,1,1,3,2:25,2,3,3:23,1,4, 4:23,1,4,3,5:13,6:05,4,No,No,6:25,6:37,Yes,No,No,No,No,Yes,No,No,No,No,7:04, 7:41,3,2,2,4,2,2,2,2,2,2,8:07,8:21,3,9:11,Both,3,1,2,9:32,9:52,4,1,10:18,10:30,1,4,1,1,1,2,1,1,1,No,11:31,11:34,2,Never,11:46,11:58,4,1,1,1,1,No,12:57,13:28,,11:59,,na,,,,,,,30/10/2019,2,,,,,,1.0,
July,10-03-LJ,1,Hazel,LR,F,J,IGDB,GM,03/07/2018,17/10/2019,30/10/2019,08/06/2020,AD,1/22/2020 17:48:20,4,1,1:11,2,1:23,1,2,1,2,2:33,3,2,3:27,1,4,4:33,1,4,3,5:35,5:43,3,No,No,6:07,6:21,Yes,No,No,No,No,Yes,No,No,No,No,6:44,7:23,3,3,1,3,2,3,1,3,2,4,7:49,8:11,4,8:40,,3,2,2,9:00,9:20,4,1,9:59,10:07,1,1,1,4,1,2,4,1,3,No,11:02,11:07,3,Sometimes,11:14,11:25,3,2,2,3,1,No,12:21,12:55,1:11; 8:21; 8:34,00:59,,10:15-10:20; 10:21-10:29; 10:34; 10:37-10:43; 10:46-10:50; 11:48-11:49; 11:57-11:59; 12:41,,,,,,,30/10/2019,1,,,,28.0,8.0,1.0,3.0
Harmony,08-04-LH,2,Hazel,LRxGR,F,H,IGDB,Diana,05/11/2019,21/08/2019,30/10/2019,29/11/2019,AD,1/22/2020 18:06:25,4,1,1:17,2,1:30,2,1,1,2,2:29,1,4,3:28,1,4,4:28,2,3,3,5:19,5:32,4,No,No,6:36,7:04,No,Yes,No,Yes,No,Yes,Yes,No,No,No,7:58,9:57,4,3,4,4,2,2,3,4,2,2,9:44,10:28,4,11:10,None,3,1,1,11:43,12:34,1,0,13:07,13:22,2,4,2,1,1,1,1,1,1,No,14:30,14:39,2,Never,14:58,15:18,3,2,1,1,1,No,16:26,17:10,10:16; 10:17; 10:19; 10:21; 10:24; 10:25; 10:44; 12:00; 12:48; 16:30; 16:33,08:00,,na,,,,,,,30/10/2019,2,,,,,,1.0,11.0
Irrie,09-01-LI,2,Hazel,LRxGR,F,I,IGDB,Frances,28/06/2018,04/09/2019,20/11/2019,27/07/2020,GD,1/22/2020 18:26:15,4,1,1:15,1,1:23,1,1,1,2,2:39,2,3,3:30,2,3,4:39,4,1,1,6:00,6:08,4,No,No,6:39,6:58,Yes,Yes,No,No,No,Yes,Yes,No,No,No,7:38, 8:15,5,3,2,2,4,3,2,3,2,4,8:42,8:57,3,9:32,Left,3,1,2,9:57,10:15,7,2,10:45,11:00,1,3,1,1,2,1,1,1,1,No,12:05,12:24,2,Sometimes,12:41,12:52,3,3,1,1,1,No,13:51,14:45,2:17; 2:19; 10:22; 10:26; 13:16,0:12; 0:38; 0:58; 5:47; 7:40; 12:59,,na,,,,12:44; 12:52,,,20/11/2019,2,,,,,,6.0,5.0
Judson,09-02-LJ,2,Hazel,LR,M,J,IGDB,Frances,07/03/2018,04/09/2019,20/11/2019,08/06/2020,GD,1/22/2020 18:44:10,4,1,1:11,1,1:16,1,2,1,1,2:29,2,3,2:38,5,1,4:07,2,3,3,5:07,5:21,4,No,No,5:56,6:14,No,No,Yes,No,No,Yes,No,No,No,No,6:47, 7:22,2,3,2,1,3,3,2,1,2,2,7:50,8:05,3,8:48,None,3,2,2, 9:16,9:34,3,0,10:01,10:14,1,4,2,1,1,1,1,1,1,No,11:15,11:22,1,Sometimes,11:55,12:05,3,2,1,1,1,No,13:04, 14:13,1:41,06:18,,8:37,12:34,,,,,,20/11/2019,2,1.0,,,1.0,1.0,1.0,1.0
Josie,09-03-LJ,2,Hazel,LR,F,J,Home Bred,Diana,03/07/2018,04/09/2019,20/11/2019,17/08/2020,GD,1/23/2020 12:19:21,4,1,1:05,1,1:17,1,1,1,2, 2:38,5,1,3:26,2,3,4:16,2,3,3,5:15,5:21,4,No,No,6:00,6:21,Yes,Yes,No,No,No,Yes,Yes,No,No,No,7:05,7:44,1,2,2,5,1,2,2,4,2,3,8:10,8:25,3,8:57,,3,2,2,9:19,9:40,4,0,10:00,10:18,1,1,1,4,2,3,3,1,3,No,11:42,11:50,3,Sometimes,12:04,12:15,3,2,1,2,1,No,13:13,14:13,1:21; 1:54; 2:05,00:39; 6:16; 11:48,,3:50; 10:57-11:00; 11:06-11:09; 11:13-11:16; 11:21; 11:40; 12:46,5:02,,,,,,20/11/2019,2,1.0,,,13.0,7.0,3.0,3.0
Jazzi,09-04-LJ,2,Hazel,LR,F,J,Home Bred,Rose/Diana,03/07/2018,04/09/2019,20/11/2019,27/07/2020,GD,1/23/2020 12:41:38,4,1,1:22,1,1:30,1,2,1,1,2:45,1,4,3:54,1,4,4:58,1,4,3,5:52, 6:18,4,No,No,6:53,7:06,No,No,Yes,No,No,Yes,No,No,No,No,7:49, 8:20,4,5,2,1,3,5,2,4,4,3,8:53,9:09,3,10:24,Left,3,1,2,10:58,11:24,2,0,11:51,12:10,1,1,1,4,1,2,3,1,3,No,13:24,13:28,2,Never,13:49,14:01,4,1,2,3,1,No,15:31,16:24,14:02,7:09; 13:34,8:26,12:25-12:26; 12:32-12:41; 12:46; 12:52-12:57; 13:09-13:13; 14:28-14:35; 14:44-14:50; 14:54-14:59; 15:03-15:09; 15:16-15:18; 15:21-15:24,,,,m/a,,,20/11/2019,2,,,,49.0,11.0,2.0,1.0
July,10-03-LJ,2,Hazel,LR,F,J,IGDB,GM,03/07/2018,17/10/2019,08/01/2020,08/06/2020,AD,1/23/2020 12:58:03,3,2,1:16,1,1:22,1,2,1,2,2:30,1,4,3:35,1,4,4:16,1,4,3,5:20,5:28,4,No,No,6:02,6:14,Yes,Yes,No,No,No,Yes,Yes,No,No,No,6:44,7:38,1,3,1,4,2,3,1,4,3,3,8:00,8:12 ,4,8:50,None,3,1,2,9:12 ,9:30,4,1,9:55,10:15,2,3,2,1,1,2,1,1,1,No,11:24,11:27,2,Never,11:35,11:45,3,3,1,1,1,No,13:15, 14:15,8:20,0:08; 11:38,,na,,,,,,,08/01/2020,2,,,,,,2.0,1.0
Jane,10-04-LJ,2,Hazel,LR,F,J,IGDB,GM,03/07/2018,02/10/2019,08/01/2020,14/02/2020,AD,1/23/2020 13:16:50,3,2,1:21,1,1:33,1,1,1,2,2:38,3,3,3:38,1,4,4:38,1,4,3,6:04,6:16,3,No,No,6:55,7:24,Yes,No,No,No,No,Yes,No,No,No,No,8:17,8:59,3,3,4,5,2,2,1,2,2,3,9:39,9:58,4,10:34,Righ,3,1,2,11:02,11:35,1,0,12:10,12:32,1,2,2,1,1,2,1,1,1,No,13:45,13:54,1,Never,14:01,14:25,4,1,2,1,1,No,15:20,16:13,9:56; 10:02,14:08,,na,,,,,,,08/01/2020,2,,,,,,1.0,2.0
Zac,07-04-LZ,1,Con,LR?,M,Z,Ext breeder,Rose,04/06/2018,02/07/2019,29/07/2019,25/10/2019,W,1/23/2020 13:32:56,4,1,01:40,3,02:00,2,2,1,2,05:24,1,4,03:16,1,4,03:55,5,1,2,06:01,06:18,4,No,No,07:08,07:38,Yes,Yes,No,No,No,Yes,No,No,No,No,08:29,09:08,5,3,3,3,2,2,2,4,2,2,09:43,10:08,4,10:54,Righ,3,1,3,11:26,12:05,2,0,12:29,12:49,1,2,3,1,3,1,1,1,2,No,14:08,14:21,1,Never,15:15,15:27,3,3,2,2,1,No,17:03,17:42,15:42,14:48,,15:48,,,,,,,29/07/2019,1,,,,1.0,1.0,1.0,1.0
Junior,10-11-LJ,2,Hazel,LR,M,J,IGDB,Rose,03/07/2018,07/10/2019,09/01/2020,27/07/2020,GD,1/23/2020 13:36:54,3,2,1:12,1, 1:21,1,1,1,2,2:25,1,4,3:17,2,3,4:17,1,4,3,5:12,5:21,3,No,No,6:10,6:29,Yes,No,No,No,No,Yes,No,No,No,No,6:37,7:23,3,3,3,4,2,1,1,1,2,3,8:03,8:25,4,9:23,Righ,3,1,2,9:51,10:16,4,0,10:40,10:52,1,3,2,1,1,1,1,1,1,No,11:54,12:00,2,Never,12:09,12:21,3,2,1,1,1,No,13:17,13:54,1:24; 9:08,,,na,,,,,,,09/01/2020,2,,,,,,,2.0
Gilli,07-15-LG,1,Con,LRxGR,F,G,IGDB,Frances,15/04/2018,29/07/2019,21/08/2019,01/10/2019,W,1/23/2020 14:02:11,3,3,01:16,1,01:22,1,2,2,2,02:21,1,4,03:16,5,1,04:20,1,4,2,05:35,05:45,3,No,No,06:05,06:17,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,06:40,07:09,4,2,2,5,1,2,2,5,2,3,07:40,07:56,3,08:41,Left,3,2,2,09:07,09:24,4,1,09:49,09:55,1,2,2,4,2,1,4,4,3,No,10:34,10:36,1,Never,10:50,10:54,4,2,3,3,3,No,11:43,12:21,,Na,,10:34; 11:11; 11:18; 11:33,,10:18-10:34; 11:36,,,,,21/08/2019,1,,17.0,2.0,4.0,4.0,,
Jira,08-11-LJ,1,Con,LR,F,J,IGDB,Frances,07/03/2018,28/08/2019,23/09/2019,03/02/2020,GD,1/23/2020 14:33:19,4,1,00:54,1,01:13,1,2,2,3,02:49,1,4,03:14,1,4,03:49,1,4,3,04:40,05:10,3,No,No,05:45,06:00,No,Yes,No,Yes,Yes,Yes,No,No,No,No,06:39,07:07,1,3,4,5,1,3,2,4,2,3,07:44,08:02,2,08:35,,2,2,1,09:18,09:43,3,0,10:08,10:20,1,1,2,4,2,1,2,4,3,No,11:20,11:25,3,Never,11:39,11:51,4,1,1,2,4,No,13:02,13:39,,01:35,,10:45,10:46,10:55-11:05; 11:08-11:19; 11:51-12:10; 12:15-12:30; 12:35; 12:45-12:53,,,,,23/09/2019,1,1.0,64.0,6.0,1.0,1.0,1.0,
Flora,05-02-LF,2,Hazel,LRxGR,F,F,Home bred,Graham,16/03/2018,01/05/2019,16/07/2019,20/12/2019,GD,1/23/2020 14:34:05,3,2,1:09,1,1:16,2,2,2,2,4:20,2,2,4:45,2,2,6:11,1,4,3,7:02,7:10,4,No,No,7:39,8:13,Yes,Yes,No,No,No,Yes,No,No,No,No,13:30,14:16,1,3,4,5,1,3,3,2,2,4,15:05,15:39,3,16:22,Left,3,1,2,17:00,17:25,6,1,18:00,18:34,1,3,2,1,1,1,1,1,1,No,19:32,19:41,2,Never,20:04,20:13,4,1,1,1,1,No,21:12,21:59,1:01; 8:31; 13:11; 17:48,,16:40,na,,,,00:43; 00:46,,19:47,16/07/2019,2,,,,,,,4.0
Hayley,08-12-LH,1,Con,,F,H,IGDB,Frances,11/05/2018,28/08/2019,23/09/2019,04/12/2019,W,1/23/2020 14:55:27,3,3,01:11,1,01:20,3,2,2,2,03:13,4,1,04:12,4,1,05:34,1,4,3,06:30,06:36,3,No,No,07:06,07:23,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,07:39,08:16,3,2,2,4,2,2,3,3,2,2,08:54,09:26,4,09:56,Left,3,1,2,10:39,11:07,6,2,12:07,,4,,,,,,,,3,No,,,2,,,14:30,4,1,2,3,4,No,15:20,15:50,07:31; 11:29,,,na,11:31,14:36; 14:40-14:53,,,,,23/09/2019,1,1.0,14.0,2.0,,,,2.0
Jojo,08-13-LJ,1,Con,LR,F,J,IGDB,Frances,07/03/2018,28/08/2019,23/09/2019,29/11/2019,AD,1/23/2020 15:14:12,4,1,00:59,2,01:05,1,2,2,1,01:45,1,4,02:39,1,4,03:28 ,2,3,4,04:41,04:55,3,No,No,05:32,05:49,No,No,Yes,No,No,Yes,No,No,No,No,06:10,06:57,2,3,2,2,2,2,2,2,2,2,07:18,07:42,3,08:08,Righ,3,1,1,08:37,09:10,3,0,09:31,09:40,1,2,1,3,1,1,3,3,3,No,10:51,,2,,na,11:06,3,4,1,1,1,No,13:33,13:59,,05:55; 11:41,,07:58; 10:20; 10:35; 10:43,10:26,,,,,,23/09/2019,1,1.0,,,4.0,4.0,2.0,
Edrick,05-11-LE,2,Hazel,LRx,M,E,IGDB,Rose,12/03/2018,15/05/2019,31/07/2019,09/07/2020,GD,1/23/2020 15:17:17,3,2,1:22,1,1:30,1,2,2,2,2:56,2,3,3:42,1,4,4:32,1,4,3,5:33,5:40,4,No,No,5:58,6:08 ,No,Yes,No,Yes,No,No,Yes,No,Yes,No,6:29,7:01,2,3,2,5,2,3,2,4,2,3,7:33,7:54,3,8:33,Righ,3,1,2,8:56,9:32,3,0,10:10,10:24,1,2,1,2,3,1,1,2,2,No,11:33,11:35,3,Never,11:41,11:56,4,1,2,2,3,No,12:51,13:28,12:00,0:26; 9:07,10:31,12:46-12:48,11:25; 12:04; 12:19; 12:27; 12:43,12:33-12:37,,,,,31/07/2019,2,5.0,4.0,1.0,2.0,1.0,2.0,1.0
Ebbi,05-14-LE,1,Hazel,LRx,F,E,IGDB,Graham,12/03/2018,15/05/2019,31/07/2019,25/10/2019,AD,1/23/2020 15:32:58,4,1,1:26,1,1:30,1,1,1,2,2:35,1,4,4:20,1,4,5:29,2,1,1,8:25, 8:53,3,No,No,9:28,9:38,No,Yes,No,Yes,No,No,Yes,No,Yes,No,10:17,10:58,1,3,2,2,1,3,1,2,2,2,11:18,11:40,3,12:28,Righ,3,1,2,12:56,13:20,6,0,13:42,13:56,1,3,2,1,1,1,1,1,1,No,14:55,14:57,2,Never,15:30,15:46,4,1,1,1,1,No,16:44,17:17,,0:18; 1:59; 10:05,,na,,,,,,03:26,31/07/2019,1,,,,,,3.0,
Hollie,10-02-LH,1,Con,LRxGR,F,H,IGDB,GM,11/05/2018,02/10/2019,24/10/2019,26/11/2019,W,1/23/2020 15:38:09,4,1,01:17,1,01:26,1,1,1,2,02:33,1,4,03:21,1,4,04:11,2,3,4,01:05 (vid 2),01:47 ,3,No,No,02:14,02:33,Yes,No,No,No,No,Yes,Yes,No,No,No,03:09,03:56,2,2,2,4,2,2,2,4,2,3,04:33,04:54,4,05:31,Righ,3,1,2,05:47,07:07,7,2,07:38,,4,,,,,,,,1,No,,08:51,2,Never,09:11,09:19,4,1,2,3,3,No,10:20,10:50,07:29; 09:36,00:15,,09:35; 09:41; 10:08,09:42; 09:47; 09:50; 09:54; 09:59; 10:03; 10:10,,,,,,24/10/2019,1,7.0,,,3.0,3.0,1.0,2.0
Idris,10-14-LI,2,Hazel,LRxGR,M,I,IGDB,Mags,28/06/2018,17/10/2019,09/01/2020,12/02/2020,W,1/23/2020 15:45:58,3,2,1:04,2,1:15,1,1,1,2,2:03,2,3,2:56,2,3,3:56,1,4,3,4:55,5:16,4,No,No,6:01, 6:15,Yes,Yes,No,No,No,Yes,Yes,No,No,No,6:25,7:01,4,3,3,4,1,3,3,1,2,2,7:46,8:07,3,8:33,Left,3,1,2,8:54,9:22,4,0, 9:47,10:05,2,3,2,1,1,2,1,1,1,No,11:10,11:15,2,Never,11:27,11:36,2,3,1,1,1,No,12:41,13:11,11:37,,,na,,,,,,,09/01/2020,2,,,,,,,1.0
Jane,10-04-LJ,1,Con,LR,F,J,IGDB,GM,03/07/2018,02/10/2019,24/10/2019,14/02/2020,AD,1/23/2020 15:56:05,4,1,01:15,1,01:19,1,1,1,2,02:14,3,2,03:08,2,3,04:13,1,4,3,05:08,05:18,3,No,No,05:40,05:55,Yes,No,No,No,No,Yes,No,No,No,No,06:32,07:14,3,2,2,5,2,2,2,4,2,2,07:49,08:06,3,08:42,None,3,1,2,09:04,09:30,3,0,09:48,09:56,1,2,3,3,1,1,3,1,2,No,10:57,11:10,2,Sometimes,11:19,11:29,3,4,2,1,1,No,12:31,13:12,,00:35; 01:52; 12:14,,10:28-10:31,,,,,,,24/10/2019,1,,,,3.0,1.0,3.0,
Diva,04-01-LD,1,Hazel,LRx,F,D,IGDB,Catherine,11/02/2018,24/04/2019,20/05/2019,13/12/2019,GD,1/23/2020 16:08:42,4,1,1:58 ,1,2:02,1,1,1,2,3:11,2,3,3:59,2,3,4:44,1,4,3,5:24,5:35,4,No,No,6:11,6:32,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,6:53,7:37,5,3,4,5,4,3,3,2,2,3,8:27,8:45,3,9:15 ,None,3,1,2,9:28,9:52,6,1,10:15,11:02,3,1,1,4,1,2,3,2,3,No,11:49,12:06,2,Never,12:24, 12:33,3,2,1,2,1,No,13:41,14:20,10:26,01:44; 06:56; 10:27; 10:34,6:43; 6:50,11:14-11:16; 11:18-11:22; 11:30-11:34; 11:39; 12:55-12:58; 13:16,10:25; 11:23,11:25-11:26,,,,03:24,20/05/2019,1,2.0,1.0,1.0,15.0,6.0,4.0,1.0
,,1,Con,,,,,,,,18/12/2019,,,1/23/2020 16:26:01,3,1,01:04,2,01:19,2,1,1,3,2:14,1,4,03:24,1,4,04:18,1,4,4,05:04,05:39,3,No,No,06:21,06:39,Yes,No,No,No,No,Yes,No,No,No,No,07:02,07:29,4,4,3,5,2,3,3,5,2,3,08:27,08:47,3,09:17,Left,3,1,2,09:28,09:43,6,1,10:08,10:12,1,3,3,1,1,1,1,1,1,No,11:40,11:50,1,Never,12:08,12;15,3,3,1,1,1,No,13:26,14:16,,02:28; 06:49; 11:52,,na,,,,04:08; 11:23,,,18/12/2019,1,,,,,,3.0,
Fergus,10-01-LF,1,Con,LR,M,F,IGDB,GM,16/03/2018,02/10/2019,24/10/2019,28/01/2020,AD,1/23/2020 16:40:22,4,1,00:55,1,01:00,1,1,1,3,01:51,1,4,02:48,4,1,03:42,1,4,3,04:31,05:01,3,No,No,05:23,05:36,Yes,No,Yes,No,No,Yes,No,No,No,No,06:02,06:32,2,2,2,4,1,2,2,2,2,2,07:01,07:17,3,07:50,Righ,3,1,2,08:09,08:28,4,1,08:50,08:57,1,4,1,1,1,1,1,1,1,No,10:02,10:05,3,Never,10:22,10:25,4,3,3,1,1,No,11:46,12:22,,05:40,,11:15; 11:34,,,,,,,24/10/2019,1,,,,2.0,2.0,1.0,
Eldin,05-05-LE,1,Con,LRxGR,M,E,Home bred,Rose,12/03/2018,01/05/2019,29/05/2019,13/12/2019,GD,1/23/2020 17:02:10,4,1,01:12,1,02:15,2,1,1,2,03:40,1,4,04:23,1,4,04:59,1,4,4,05:46,06:03,2,No,No,06:48,07:12,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,07:32,08;18,5,4,3,1,2,1,1,4,2,2,09:25,09:51,2,10:45,Both,3,1,2,11:22,11:44,4,1,12:13,12:24,1,4,1,1,2,1,1,1,1,No,13:36,13:37,3,Never,14:03,14:10,4,1,3,1,1,No,15:18,15:50,,,,na,,,,,,,29/05/2019,1,,,,,,,
Gav,07-12-LG,1,Con,,M,G,Home Bred,Rose,15/04/2018,16/06/2019,21/08/2019,28/01/2020,AD,1/23/2020 17:47:02,4,1,01:22,1,01:33,1,2,2,2,02:32,1,4,03:11,4,1,04:47,2,2,2,05:29,05:46,3,No,No,06:30,07:15,Yes,Yes,No,Yes,No,Yes,No,No,No,No,08:04,08:41,3,3,3,1,2,2,2,6,2,3,09:23,10:05,4,10:33,None,3,2,3,11:30,11:59,5,1,12:26,12:49,1,4,2,1,1,1,1,1,1,No,13:58,14:06,1,Sometimes,15:12,15:23,4,1,1,2,3,No,16:12,16:47,11:33; 15:28,00:12; 06:52,,15:48,15:51; ,15:57-16:01; 16:02-16:07,,,,,21/08/2019,1,2.0,9.0,2.0,1.0,1.0,2.0,2.0
Douglas,04-03-LD,1,Hazel,LRx,M,D,IGDB,Rose,11/02/2018,24/04/2019,20/05/2019,06/08/2019,W,1/28/2020 10:51:39,3,2,2:01,1,2:13,1,1,1,2,3:24,2,3,4:28,1,4,5:16,1,4,3,5:58,6:21,4,No,No,6:48,7:00,No,Yes,No,Yes,No,No,Yes,No,Yes,No,7:16,8:13,3,3,3,5,1,2,2,4,2,4,9:02,9:50,4,10:18,Left,3,1,3,10:30,11:00,5,0,11:20,11:38,1,2,2,2,1,2,1,1,2,No,12:40,12:42,3,Never,13:12,13:30,3,2,1,1,1,No,14:30,15:04,9:36; 10:16; 10:35,01:51; 07:19; 13:22,13:00,na,,,,,5:04,04:14,20/05/2019,1,,,,,,3.0,3.0
Zodiac,04-04-LZ,1,Hazel,LR,M,Z,prv breeder,Rose,06/04/2018,24/04/2019,20/05/2019,25/10/2019,GD,1/28/2020 11:05:56,4,1,00:57,2,1:06,1,2,1,2,2:17,1,4,3:04,1,4,3:45,1,4,3,4: 37,4:59,3,No,No, 5:26,5:41,No,Yes,No,No,No,No,Yes,No,Yes,No,6:07,6:54,4,3,4,5,2,2,2,4,2,3,7:20,7:54,3,8:26,,3,1,2,8:45, 9:06,7,1,9:30,9:42,1,3,2,1,1,2,1,1,1,No,10:53,10:55,2,Sometimes,11:28,11:49,4,1,1,1,1,No,13:11,13:37,9:13; 9:18,11:23,5:52; 6:16,na,,,,,,,20/05/2019,1,,,,,,1.0,2.0
Fargo,04-05-LF,1,Hazel,LRx,M ,F,IGDB,Graham,16/03/2018,24/04/2019,23/05/2019,25/11/2019,GD,1/28/2020 11:20:00,3,3,1:00,1,1:06,2,2,1,2,3:23,2,2,2:37,2,2,4:11,1,4,2,4:57,5:10,4,No,No,5:44,6:03,Yes,No,No,No,No,Yes,No,No,No,No,6:23,7:06,5,2,3,4,2,2,2,3,2,3,7:42,8:03,3,8:31,Righ,3,1,2,8:47,9:17,5,0,9:35,9:59,1,3,2,1,1,2,1,1,1,No,11:07,11:08,2,Never,11:35,11:55,4,1,1,1,1,No,13:25,14:15,1:43,11:40,10:33,na,,,,03:17,00:16-00:20,,23/05/2019,1,,,,,,1.0,1.0
